2026-01-15 20:19:23,864 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 일일 VCP 스캔 시작: 2026-01-15 20:19:23
2026-01-15 20:19:23,866 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-15 20:19:23,866 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-16 16:00:07,233 - ERROR - Error for 240810: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,233 - ERROR - Error for 030530: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,237 - ERROR - Error for 226950: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,237 - ERROR - Error for 145020: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,239 - ERROR - Error for 475830: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,260 - ERROR - Error for 140410: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,268 - ERROR - Error for 068760: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,273 - ERROR - Error for 403870: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,279 - ERROR - Error for 237690: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,351 - ERROR - Error for 476830: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,435 - ERROR - Error for 257720: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,442 - ERROR - Error for 0009K0: 404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/0009K0?period1=1760770806&period2=1768546806&interval=1d&includeAdjustedClose=true
2026-01-16 16:00:07,501 - ERROR - Error for 319400: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,502 - ERROR - Error for 041510: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,566 - ERROR - Error for 005290: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,568 - ERROR - Error for 263750: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,572 - ERROR - Error for 357780: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,572 - ERROR - Error for 084370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,572 - ERROR - Error for 095340: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,584 - ERROR - Error for 098460: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,585 - ERROR - Error for 437730: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,592 - ERROR - Error for 445680: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,594 - ERROR - Error for 039200: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,598 - ERROR - Error for 089030: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,594 - ERROR - Error for 058610: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,595 - ERROR - Error for 067310: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,594 - ERROR - Error for 035900: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,616 - ERROR - Error for 064760: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,692 - ERROR - Error for 083650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,703 - ERROR - Error for 160190: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,828 - ERROR - Error for 036930: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,844 - ERROR - Error for 290650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,877 - ERROR - Error for 222800: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:07,979 - ERROR - Error for 060370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:08,033 - ERROR - Error for 195940: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:08,037 - ERROR - Error for 140860: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:08,037 - ERROR - Error for 065350: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:08,045 - ERROR - Error for 458870: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-16 16:00:08,051 - ERROR - Error for 466100: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
